PATH, FILENAME, LINE, STATE, CUrRENT HINT, EXPECTED HINT, TOTAL #, TAKEN % , TAKEN, NOT TAKEN, NUM_BRANCHES, BRANCH TYPE, LINE OF CODE
/home/GabrielCSMO/devel/python/Python, sysmodule.c, 1911, MISSING, NONE, UNEXPECTED, 20, 25, 5, 15, 2, UNKNOWN, if (p == NULL)
/home/GabrielCSMO/devel/python/Modules, posixmodule.c, 12587, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, if (PyModule_AddIntMacro(m
/home/GabrielCSMO/devel/python/Modules, posixmodule.c, 12584, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, if (PyModule_AddIntMacro(m
/home/GabrielCSMO/devel/python/Modules, posixmodule.c, 12581, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, if (PyModule_AddIntMacro(m
/home/GabrielCSMO/devel/python/Objects, object.c, 295, MISSING, NONE, EXPECTED, 1530, 100, 1530, 0, 2, UNKNOWN, if (PyType_IS_GC(tp))
/home/GabrielCSMO/devel/python/Objects, object.c, 291, OVERFLOW, NONE, NONE, 1530, 50, 1530, 0, 4, UNKNOWN, if (PyType_IS_GC(tp) && _PyGC_FINALIZED(self))
/home/GabrielCSMO/devel/python/Python, compile.c, 4126, MISSING, NONE, UNEXPECTED, 380, 0, 0, 380, 2, UNKNOWN, ADDOP_O(c
/home/GabrielCSMO/devel/python/Objects, bytearrayobject.c, 215, MISSING, NONE, UNEXPECTED, 666, 0, 0, 666, 2, UNKNOWN, if (alloc > PY_SSIZE_T_MAX) {
/home/GabrielCSMO/devel/python/Python, compile.c, 4122, MISSING, NONE, EXPECTED, 865, 56, 485, 380, 2, UNKNOWN, if (s->v.Slice.upper) {
/home/GabrielCSMO/devel/python/Python, compile.c, 4123, MISSING, NONE, UNEXPECTED, 485, 0, 0, 485, 2, UNKNOWN, VISIT(c
/home/GabrielCSMO/devel/python/Objects, setobject.c, 393, MISSING, NONE, EXPECTED, 34969, 100, 34969, 0, 2, UNKNOWN, if (entry != NULL)
